ID;Batch;Distance (µm);Sr:Ca_Avg
SL57;Slåttersill;152.88;2.51302757204492
SL_63;Slåttersill;152.88;2.60523736299776
SL_58;Slåttersill;152.88;2.15735461800397
SL_66;Slåttersill;152.88;2.62288599110146
SL_65;Slåttersill;152.88;2.29940250696785
SL_62;Slåttersill;152.88;2.22296467243084
SH_21;Spring-spawning;152.88;2.25878723811619
SL-51;Slåttersill;156.259665959258;2.41756219760406
SL_53;Slåttersill;156.259665959258;2.33217214301934
SL_45;Slåttersill;156.259665959258;2.35927193446697
SL_54;Slåttersill;156.259665959258;2.39116329196306
SH31;Spring-spawning;161.35;2.09233048653754
SH32;Spring-spawning;161.35;2.07194131597985
SH_33;Spring-spawning;161.35;2.18630299833603
UP_11_4;Autumn-spawning;161.35;0.891410888583808
UP_11_9;Autumn-spawning;161.35;1.84315795813336
UP_11_5;Autumn-spawning;161.35;1.84314510899528
UP_11_6;Autumn-spawning;161.35;1.34745631976661
UP_11_18;Autumn-spawning;161.35;1.48151986837327
UP_11_7;Autumn-spawning;161.35;1.43107281771745
UP_11_8;Autumn-spawning;161.35;1.34381936244117
UP_11_14;Autumn-spawning;161.35;1.68468757102146
SH_29;Spring-spawning;163.8;2.42273097057049
SH_27;Spring-spawning;163.8;2.00534236440336
SH_26;Spring-spawning;163.8;2.19503824867128
SH_25;Spring-spawning;163.8;2.66763623821744
SH_23;Spring-spawning;163.8;2.05838508533745
SH_22;Spring-spawning;163.8;2.35864728991448
SL57;Slåttersill;163.8;2.51258358901899
SL_63;Slåttersill;163.8;2.68265712384579
SL_58;Slåttersill;163.8;2.13224703369011
SL_66;Slåttersill;163.8;2.64503932833955
SL_65;Slåttersill;163.8;2.30889072753877
SL_62;Slåttersill;163.8;2.2209279756956
SH_21;Spring-spawning;163.8;2.29377743669759
SH31;Spring-spawning;172.875;2.0770103237694
SH32;Spring-spawning;172.875;1.9975418133779
SH_33;Spring-spawning;172.875;1.97612433866154
UP_11_4;Autumn-spawning;172.875;0.951089865198332
UP_11_9;Autumn-spawning;172.875;1.85596797706423
UP_11_5;Autumn-spawning;172.875;1.90311228746135
UP_11_6;Autumn-spawning;172.875;1.33460348618599
UP_11_18;Autumn-spawning;172.875;1.4601464738548
UP_11_7;Autumn-spawning;172.875;1.43051383402001
UP_11_8;Autumn-spawning;172.875;1.48427196734102
UP_11_14;Autumn-spawning;172.875;1.69476123298303
SH_29;Spring-spawning;174.72;2.3954868799787
SH_27;Spring-spawning;174.72;1.99544311197209
SH_26;Spring-spawning;174.72;2.27587925127282
SH_25;Spring-spawning;174.72;2.6974420973691
SH_23;Spring-spawning;174.72;2.0717969953407
SH_22;Spring-spawning;174.72;2.39439842025435
SL57;Slåttersill;174.72;2.51733537093064
SL_63;Slåttersill;174.72;2.72416932819868
SL_58;Slåttersill;174.72;2.13755092348848
SL_66;Slåttersill;174.72;2.6606253937941
SL_65;Slåttersill;174.72;2.32365817898936
SL_62;Slåttersill;174.72;2.23417329845136
SH_21;Spring-spawning;174.72;2.30880765032794
SL-51;Slåttersill;182.302943619135;2.47017712444258
